Time,Data1,Data2,Data3
2021-3-4-0-4-17,27,79,25
2021-3-4-0-4-18,24,77,25
2021-3-4-0-4-19,26,80,23
2021-3-4-0-4-20,24,81,25
2021-3-4-0-4-21,24,84,24
2021-3-4-0-4-22,23,87,27
2021-3-4-0-4-23,22,85,28
2021-3-4-0-4-24,25,85,30
2021-3-4-0-4-25,28,88,30
2021-3-4-0-4-26,31,89,30
2021-3-4-0-4-27,34,91,29
2021-3-4-0-4-28,37,93,27
2021-3-4-0-4-29,37,96,24
2021-3-4-0-4-30,34,99,22
2021-3-4-0-4-31,37,98,23
2021-3-4-0-4-32,38,95,21
2021-3-4-0-4-33,38,93,20
2021-3-4-0-4-34,39,90,18
2021-3-4-0-4-35,38,90,15
2021-3-4-0-4-36,35,88,14
2021-3-4-0-4-37,32,86,15
2021-3-4-0-4-38,31,83,18
2021-3-4-0-4-39,33,85,16
2021-3-4-0-4-40,32,87,13
2021-3-4-0-4-41,32,90,10
2021-3-4-0-4-42,31,89,11
2021-3-4-0-4-43,34,92,8
2021-3-4-0-4-44,31,92,6
2021-3-4-0-4-45,34,93,3
2021-3-4-0-4-46,31,90,6
2021-3-4-0-4-47,30,92,6
2021-3-4-0-4-48,29,89,6
2021-3-4-0-4-49,32,90,9
2021-3-4-0-4-50,30,90,11
2021-3-4-0-4-51,27,89,11
2021-3-4-0-4-52,27,91,14
2021-3-4-0-4-53,29,92,14
2021-3-4-0-4-54,30,89,14
2021-3-4-0-4-55,28,90,15
2021-3-4-0-4-56,28,91,12
2021-3-4-0-4-57,25,91,10
2021-3-4-0-4-58,27,93,10
2021-3-4-0-4-59,28,90,8
2021-3-4-0-5-0,29,93,8
2021-3-4-0-5-1,31,91,10
2021-3-4-0-5-2,32,88,10
2021-3-4-0-5-3,35,89,11
2021-3-4-0-5-4,33,89,11
2021-3-4-0-5-5,36,87,14
2021-3-4-0-5-6,33,88,11
2021-3-4-0-5-7,36,90,13
2021-3-4-0-5-8,36,87,13
2021-3-4-0-5-9,36,88,15
2021-3-4-0-5-10,36,87,13
2021-3-4-0-5-11,35,86,14
2021-3-4-0-5-12,33,89,11
2021-3-4-0-5-13,30,92,13
2021-3-4-0-5-14,31,90,13
2021-3-4-0-5-15,33,91,15
2021-3-4-0-5-16,30,88,17
2021-3-4-0-5-17,28,90,20
2021-3-4-0-5-18,26,90,23
2021-3-4-0-5-19,25,90,25
2021-3-4-0-5-20,24,87,23
2021-3-4-0-5-21,25,89,22
2021-3-4-0-5-22,26,86,24
2021-3-4-0-5-23,26,86,27
2021-3-4-0-5-24,23,86,24
2021-3-4-0-5-25,25,85,27
2021-3-4-0-5-26,28,87,24
2021-3-4-0-5-27,27,87,25
2021-3-4-0-5-28,28,86,27
2021-3-4-0-5-29,30,84,24
2021-3-4-0-5-30,27,87,25
2021-3-4-0-5-31,29,84,25
2021-3-4-0-5-32,28,85,28
2021-3-4-0-5-33,31,88,25
2021-3-4-0-5-34,29,87,23
2021-3-4-0-5-35,26,90,25
2021-3-4-0-5-36,28,88,23
2021-3-4-0-5-37,26,89,24
2021-3-4-0-5-38,29,86,26
2021-3-4-0-5-39,27,88,23
2021-3-4-0-5-40,28,87,20
2021-3-4-0-5-41,31,85,23
2021-3-4-0-5-42,31,86,25
2021-3-4-0-5-43,33,86,28
2021-3-4-0-5-44,32,84,30
2021-3-4-0-5-45,33,83,33
2021-3-4-0-5-46,34,82,35
2021-3-4-0-5-47,32,85,35
2021-3-4-0-5-48,32,82,37
2021-3-4-0-5-49,34,83,35
2021-3-4-0-5-50,33,86,35
2021-3-4-0-5-51,33,86,33
2021-3-4-0-5-52,34,84,33
2021-3-4-0-5-53,36,84,35
2021-3-4-0-5-54,34,81,37
2021-3-4-0-5-55,32,81,37
2021-3-4-0-5-56,34,80,40
2021-3-4-0-5-57,34,79,43
2021-3-4-0-5-58,34,82,45
2021-3-4-0-5-59,31,80,48
2021-3-4-0-6-0,33,83,50
2021-3-4-0-6-1,35,85,52
2021-3-4-0-6-2,36,88,49
2021-3-4-0-6-3,33,89,48
2021-3-4-0-6-4,32,90,50
2021-3-4-0-6-5,34,89,49
2021-3-4-0-6-6,33,89,48
2021-3-4-0-6-7,36,90,47
2021-3-4-0-6-8,37,92,44
2021-3-4-0-6-9,40,89,46
2021-3-4-0-6-10,40,90,49
2021-3-4-0-6-11,37,88,47
2021-3-4-0-6-12,37,88,44
2021-3-4-0-6-13,36,86,43
2021-3-4-0-6-14,36,88,43
2021-3-4-0-6-15,35,87,43
2021-3-4-0-6-16,33,84,42
2021-3-4-0-6-17,35,86,40
2021-3-4-0-6-18,32,85,37
2021-3-4-0-6-19,31,85,40
2021-3-4-0-6-20,28,84,41
2021-3-4-0-6-21,31,81,39
2021-3-4-0-6-22,33,82,38
2021-3-4-0-6-23,36,82,37
2021-3-4-0-6-24,34,82,38
2021-3-4-0-6-25,33,80,36
2021-3-4-0-6-26,32,77,37
2021-3-4-0-6-27,34,78,36
2021-3-4-0-6-28,35,80,34
2021-3-4-0-6-29,37,78,32
2021-3-4-0-6-30,34,76,35
2021-3-4-0-6-31,35,74,34
2021-3-4-0-6-32,32,72,34
2021-3-4-0-6-33,35,70,34
2021-3-4-0-6-34,34,71,32
2021-3-4-0-6-35,31,70,35
2021-3-4-0-6-36,30,71,38
2021-3-4-0-6-37,30,72,39
2021-3-4-0-6-38,30,75,39
2021-3-4-0-6-39,27,78,40
2021-3-4-0-6-40,26,77,40
2021-3-4-0-6-41,26,80,42
2021-3-4-0-6-42,28,77,44
2021-3-4-0-6-43,28,77,46
2021-3-4-0-6-44,31,77,47
2021-3-4-0-6-45,30,80,47
2021-3-4-0-6-46,33,79,50
2021-3-4-0-6-47,33,81,49
2021-3-4-0-6-48,35,78,46
2021-3-4-0-6-49,36,80,46
2021-3-4-0-6-50,33,80,43
2021-3-4-0-6-51,34,77,44
2021-3-4-0-6-52,35,76,47
2021-3-4-0-6-53,34,76,49
2021-3-4-0-6-54,32,74,49
2021-3-4-0-6-55,34,74,52
2021-3-4-0-6-56,35,73,55
2021-3-4-0-6-57,33,75,58
2021-3-4-0-6-58,35,74,61
2021-3-4-0-6-59,36,77,61
2021-3-4-0-7-0,39,78,62
2021-3-4-0-7-1,41,76,64
2021-3-4-0-7-2,42,78,66
2021-3-4-0-7-3,44,75,68
2021-3-4-0-7-4,46,74,71
2021-3-4-0-7-5,47,72,71
2021-3-4-0-7-6,46,74,73
2021-3-4-0-7-7,44,72,72
2021-3-4-0-7-8,41,70,69
2021-3-4-0-7-9,43,72,68
2021-3-4-0-7-10,46,71,65
2021-3-4-0-7-11,44,70,68
2021-3-4-0-7-12,46,73,69
2021-3-4-0-7-13,47,72,66
2021-3-4-0-7-14,46,69,68
2021-3-4-0-7-15,45,66,69
2021-3-4-0-7-16,45,67,70
2021-3-4-0-7-17,45,65,70
2021-3-4-0-7-18,44,62,72
2021-3-4-0-7-19,43,65,73
2021-3-4-0-7-20,46,68,73
2021-3-4-0-7-21,47,66,70
2021-3-4-0-7-22,44,67,67
2021-3-4-0-7-23,46,70,65
2021-3-4-0-7-24,48,71,62
2021-3-4-0-7-25,45,69,60
2021-3-4-0-7-26,46,67,58
2021-3-4-0-7-27,43,70,58
2021-3-4-0-7-28,43,72,57
2021-3-4-0-7-29,46,69,57
2021-3-4-0-7-30,46,69,55
2021-3-4-0-7-31,46,66,55
2021-3-4-0-7-32,44,65,57
2021-3-4-0-7-33,41,66,55
2021-3-4-0-7-34,38,66,52
2021-3-4-0-7-35,38,63,54
2021-3-4-0-7-36,39,60,57
2021-3-4-0-7-37,37,62,58
2021-3-4-0-7-38,35,60,58
2021-3-4-0-7-39,32,59,60
2021-3-4-0-7-40,35,60,63
2021-3-4-0-7-41,36,59,64
2021-3-4-0-7-42,36,56,61
2021-3-4-0-7-43,36,56,62
2021-3-4-0-7-44,35,57,61
2021-3-4-0-7-45,37,55,62
2021-3-4-0-7-46,38,55,65
2021-3-4-0-7-47,36,57,68
2021-3-4-0-7-48,38,55,70
2021-3-4-0-7-49,38,55,70
2021-3-4-0-7-50,41,54,67
2021-3-4-0-7-51,38,56,66
2021-3-4-0-7-52,38,58,69
2021-3-4-0-7-53,39,61,72
2021-3-4-0-7-54,41,61,75
2021-3-4-0-7-55,42,59,72
2021-3-4-0-7-56,43,59,72
2021-3-4-0-7-57,45,58,71
2021-3-4-0-7-58,43,55,71
2021-3-4-0-7-59,45,54,69
2021-3-4-0-8-0,45,51,68
2021-3-4-0-8-1,45,54,66
2021-3-4-0-8-2,46,55,66
2021-3-4-0-8-3,45,56,66
2021-3-4-0-8-4,44,54,63
2021-3-4-0-8-5,42,53,60
2021-3-4-0-8-6,41,55,61
2021-3-4-0-8-7,39,53,61
2021-3-4-0-8-8,37,56,60
2021-3-4-0-8-9,39,53,62
2021-3-4-0-8-10,37,54,65
2021-3-4-0-8-11,38,54,64
2021-3-4-0-8-12,41,52,66
2021-3-4-0-8-13,43,51,66
2021-3-4-0-8-14,45,54,64
2021-3-4-0-8-15,48,51,63
2021-3-4-0-8-16,46,48,61
2021-3-4-0-8-17,44,46,61
2021-3-4-0-8-18,42,46,59
2021-3-4-0-8-19,44,46,58
2021-3-4-0-8-20,42,43,56
2021-3-4-0-8-21,43,45,53
2021-3-4-0-8-22,46,47,53
2021-3-4-0-8-23,48,46,55
2021-3-4-0-8-24,45,48,54
2021-3-4-0-8-25,44,50,56
2021-3-4-0-8-26,41,52,56
2021-3-4-0-8-27,44,50,54
2021-3-4-0-8-28,42,47,53
2021-3-4-0-8-29,42,48,54
2021-3-4-0-8-30,39,48,51
2021-3-4-0-8-31,39,51,49
2021-3-4-0-8-32,42,49,52
2021-3-4-0-8-33,42,48,50
2021-3-4-0-8-34,40,47,47
2021-3-4-0-8-35,41,47,46
2021-3-4-0-8-36,41,45,43
2021-3-4-0-8-37,44,45,42
2021-3-4-0-8-38,47,47,41
2021-3-4-0-8-39,49,49,42
2021-3-4-0-8-40,51,49,44
2021-3-4-0-8-41,50,47,43
2021-3-4-0-8-42,48,49,42
2021-3-4-0-8-43,49,50,43
2021-3-4-0-8-44,48,48,41
2021-3-4-0-8-45,47,50,42
2021-3-4-0-8-46,48,47,40
2021-3-4-0-8-47,48,45,43
2021-3-4-0-8-48,46,44,40
2021-3-4-0-8-49,48,47,38
2021-3-4-0-8-50,49,49,38
2021-3-4-0-8-51,48,47,40
2021-3-4-0-8-52,48,48,42
2021-3-4-0-8-53,48,47,43
2021-3-4-0-8-54,49,47,46
2021-3-4-0-8-55,50,47,47
2021-3-4-0-8-56,53,45,47
2021-3-4-0-8-57,53,43,48
2021-3-4-0-8-58,51,44,46
2021-3-4-0-8-59,54,45,49
2021-3-4-0-9-0,51,43,52
2021-3-4-0-9-1,48,43,53
2021-3-4-0-9-2,50,44,55
2021-3-4-0-9-3,51,45,55
2021-3-4-0-9-4,52,43,53
2021-3-4-0-9-5,50,45,55
2021-3-4-0-9-6,51,45,54
2021-3-4-0-9-7,54,44,53
2021-3-4-0-9-8,52,45,51
2021-3-4-0-9-9,54,47,52
2021-3-4-0-9-10,57,50,51
2021-3-4-0-9-11,57,49,53
2021-3-4-0-9-12,57,50,53
2021-3-4-0-9-13,56,48,55
2021-3-4-0-9-14,59,49,53
2021-3-4-0-9-15,60,50,53
2021-3-4-0-9-16,60,51,55
2021-3-4-0-9-17,58,53,55
2021-3-4-0-9-18,56,53,58
2021-3-4-0-9-19,54,52,56
2021-3-4-0-9-20,53,54,58
2021-3-4-0-9-21,53,52,56
2021-3-4-0-9-22,51,52,59
2021-3-4-0-9-23,53,53,61
2021-3-4-0-9-24,51,55,59
2021-3-4-0-9-25,50,56,61
2021-3-4-0-9-26,49,53,61
2021-3-4-0-9-27,50,50,58
2021-3-4-0-9-28,50,47,55
2021-3-4-0-9-29,51,50,58
2021-3-4-0-9-30,50,50,60
2021-3-4-0-9-31,47,47,63
2021-3-4-0-9-32,44,46,66
2021-3-4-0-9-33,43,47,64
2021-3-4-0-9-34,44,48,66
2021-3-4-0-9-35,41,49,66
2021-3-4-0-9-36,40,49,67
2021-3-4-0-9-37,37,46,66
2021-3-4-0-9-38,34,45,63
2021-3-4-0-9-39,35,44,66
2021-3-4-0-9-40,38,42,68
2021-3-4-0-9-41,39,45,68
2021-3-4-0-9-42,39,42,65
2021-3-4-0-9-43,41,41,68
2021-3-4-0-9-44,40,43,65
2021-3-4-0-9-45,37,40,62
2021-3-4-0-9-46,36,43,62
2021-3-4-0-9-47,36,46,61
2021-3-4-0-9-48,34,48,62
2021-3-4-0-9-49,33,50,63
2021-3-4-0-9-50,36,50,65
2021-3-4-0-9-51,33,52,63
2021-3-4-0-9-52,31,55,61
2021-3-4-0-9-53,29,58,62
2021-3-4-0-9-54,30,59,59
2021-3-4-0-9-55,27,60,59
2021-3-4-0-9-56,29,59,57
2021-3-4-0-9-57,26,56,60
2021-3-4-0-9-58,25,57,63
2021-3-4-0-9-59,28,56,60
2021-3-4-0-10-0,27,55,62
2021-3-4-0-10-1,30,57,65
2021-3-4-0-10-2,27,59,68
2021-3-4-0-10-3,25,61,70
2021-3-4-0-10-4,27,60,70
2021-3-4-0-10-5,24,63,70
2021-3-4-0-10-6,24,63,68
2021-3-4-0-10-7,26,62,65
2021-3-4-0-10-8,28,61,64
2021-3-4-0-10-9,31,60,66
2021-3-4-0-10-10,34,58,66
2021-3-4-0-10-11,35,57,68
2021-3-4-0-10-12,36,56,65
2021-3-4-0-10-13,34,58,66
2021-3-4-0-10-14,32,56,65
2021-3-4-0-10-15,31,58,62
2021-3-4-0-10-16,29,58,61
2021-3-4-0-10-17,28,58,58
2021-3-4-0-10-18,28,59,57
2021-3-4-0-10-19,27,57,54
2021-3-4-0-10-20,27,57,53
2021-3-4-0-10-21,28,58,52
2021-3-4-0-10-22,25,60,52
2021-3-4-0-10-23,24,57,49
2021-3-4-0-10-24,25,57,48
2021-3-4-0-10-25,22,57,48
2021-3-4-0-10-26,21,56,47
2021-3-4-0-10-27,23,56,46
2021-3-4-0-10-28,26,58,47
2021-3-4-0-10-29,28,56,46
2021-3-4-0-10-30,27,55,44
2021-3-4-0-10-31,27,52,44
2021-3-4-0-10-32,26,54,46
2021-3-4-0-10-33,24,51,45
2021-3-4-0-10-34,24,53,48
2021-3-4-0-10-35,21,52,47
2021-3-4-0-10-36,22,55,44
2021-3-4-0-10-37,20,54,47
2021-3-4-0-10-38,23,51,49
2021-3-4-0-10-39,22,51,48
2021-3-4-0-10-40,24,53,46
2021-3-4-0-10-41,26,51,44
2021-3-4-0-10-42,28,53,43
2021-3-4-0-10-43,31,54,46
2021-3-4-0-10-44,30,51,47
2021-3-4-0-10-45,33,51,46
2021-3-4-0-10-46,31,51,45
2021-3-4-0-10-47,33,54,42
2021-3-4-0-10-48,32,57,40
2021-3-4-0-10-49,30,56,40
2021-3-4-0-10-50,28,57,41
2021-3-4-0-10-51,28,60,44
2021-3-4-0-10-52,28,62,43
2021-3-4-0-10-53,26,64,45
2021-3-4-0-10-54,25,65,45
2021-3-4-0-10-55,26,67,45
2021-3-4-0-10-56,24,68,48
2021-3-4-0-10-57,21,70,50
2021-3-4-0-10-58,22,73,47
2021-3-4-0-10-59,19,71,46
2021-3-4-0-11-0,22,71,49
2021-3-4-0-11-1,22,74,52
2021-3-4-0-11-2,25,73,51
2021-3-4-0-11-3,27,73,52
2021-3-4-0-11-4,28,71,49
2021-3-4-0-11-5,29,68,49
2021-3-4-0-11-6,29,65,50
2021-3-4-0-11-7,26,64,49
2021-3-4-0-11-8,28,65,49
2021-3-4-0-11-9,26,62,46
2021-3-4-0-11-10,25,65,45
2021-3-4-0-11-11,26,65,44
2021-3-4-0-11-12,24,66,43
2021-3-4-0-11-13,25,69,41
2021-3-4-0-11-14,26,70,41
2021-3-4-0-11-15,26,70,40
2021-3-4-0-11-16,28,70,43
2021-3-4-0-11-17,26,73,42
2021-3-4-0-11-18,25,71,41
2021-3-4-0-11-19,25,68,40
2021-3-4-0-11-20,26,66,42
2021-3-4-0-11-21,29,66,43
2021-3-4-0-11-22,30,65,42
2021-3-4-0-11-23,31,66,44
2021-3-4-0-11-24,30,66,42
2021-3-4-0-11-25,27,63,39
2021-3-4-0-11-26,28,66,37
2021-3-4-0-11-27,25,69,39
2021-3-4-0-11-28,25,67,39
2021-3-4-0-11-29,23,66,36
2021-3-4-0-11-30,20,69,37
2021-3-4-0-11-31,20,71,40
2021-3-4-0-11-32,17,74,39
2021-3-4-0-11-33,20,76,40
2021-3-4-0-11-34,19,73,43
2021-3-4-0-11-35,21,72,46
2021-3-4-0-11-36,18,74,45
2021-3-4-0-11-37,18,71,42
2021-3-4-0-11-38,21,71,45
2021-3-4-0-11-39,23,70,48
2021-3-4-0-11-40,24,72,46
2021-3-4-0-11-41,24,69,49
2021-3-4-0-11-42,21,70,47
2021-3-4-0-11-43,19,71,50
2021-3-4-0-11-44,18,71,48
2021-3-4-0-11-45,18,72,47
2021-3-4-0-11-46,21,73,44
2021-3-4-0-11-47,23,72,43
2021-3-4-0-11-48,22,74,43
2021-3-4-0-11-49,22,73,43
2021-3-4-0-11-50,25,75,45
2021-3-4-0-11-51,25,77,48
2021-3-4-0-11-52,28,77,46
2021-3-4-0-11-53,29,80,47
2021-3-4-0-11-54,31,83,44
2021-3-4-0-11-55,31,86,42
2021-3-4-0-11-56,29,88,40
2021-3-4-0-11-57,27,89,40
2021-3-4-0-11-58,28,86,38
2021-3-4-0-11-59,31,85,40
2021-3-4-0-12-0,32,82,41
2021-3-4-0-12-1,29,79,38
2021-3-4-0-12-2,31,78,40
2021-3-4-0-12-3,34,78,43
2021-3-4-0-12-4,37,77,40
2021-3-4-0-12-5,38,76,40
2021-3-4-0-12-6,35,73,38
2021-3-4-0-12-7,38,73,41
2021-3-4-0-12-8,35,75,39
2021-3-4-0-12-9,34,75,40
2021-3-4-0-12-10,35,76,41
2021-3-4-0-12-11,36,79,38
2021-3-4-0-12-12,34,82,39
2021-3-4-0-12-13,32,84,39
2021-3-4-0-12-14,31,84,37
